ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
2-12_9,bee,2,4,B6-A6,,13.703987121582,0.161219224333763,9506029226.82249,1980,10
2-0_1,bee,2,3,MD,,22.7926502227783,0.22441802918911,19938463.9178514,97,7
2-0_10,bee,2,3,MD,,25.9160976409912,0.0527648366987705,2394713.27075915,7,2
2-0_2,bee,2,3,MD,,21.9514255523682,0.325319588184357,35284937.7108457,12,3
2-0_3,bee,2,3,MD,,24.2533359527588,0.189445182681084,7400262.91992246,128,11
2-0_4,bee,2,3,MD,,22.7534790039062,0.0757501870393753,20475519.5749153,151,8
2-0_5,bee,2,3,MD,,21.8820648193359,0.0525387711822987,36985290.5997704,356,10
2-0_6,bee,2,3,MD,,23.8487033843994,0.0940569862723351,9738385.34518792,10,5
2-0_7,bee,2,3,MD,,22.0457096099854,0.168884426355362,33098255.522293,172,8
2-0_8,bee,2,3,MD,,24.3694915771484,0.0983775407075882,6839394.28232152,379,4
2-0_9,bee,2,3,MD,,27.3289279937744,0.125159472227097,918145.084762462,2,1
eb-3,bee,2,3,extraction_blank,,29.9553146362305,0.670174300670624,154507.761263413,1471,8
eb-4,blank,2,4,extraction_blank,,26.3688907623291,5.77659606933594,1761251.77786018,681,8
3s-0,aliquot,3,6,MD,,NA,NA,NA,14,NA
3s-3,aliquot,3,6,MD,,30.2194213867188,0.26455882191658,129158.077839366,149,1
3a-0,bacteria,3,6,A1,,21.3579025268555,0.0478415414690971,52782827.6077441,2551,12
3a-3,bacteria,3,6,A1,,20.7948551177979,0.0675179958343506,77341963.2839362,12023,12
3b-0,bacteria,3,6,B1,,21.0480651855469,0.037720400840044,65132473.5989854,19059,13
3b-3,bacteria,3,6,B1,,20.9425754547119,0.0642855390906334,69965506.8745998,2697,12
am1,bacteria,3,6,dropout_community,,21.4873523712158,0.0509056523442268,48344326.4953073,1667,11
am4,bacteria,3,6,dropout_community,,20.3104953765869,0.138388007879257,107435925.474525,1771,10
